Countries with 20 consequitive years,Parent,Color,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Madagascar,Eastern Africa,#FF0000,27781,24150,14374,59691,42440,53873,58821,130454,115543,59433,108396,192874,241225,247307,229317,190587,268794,192476,370345,225968
Mauritius,Eastern Africa,#FF0000,410885,405823,501712,434265,353438,330849,326428,397132,506813,575983,708673,1110368,1390112,1203898,1503370,2064063,1935944,2413679,2288262,2384715
Uganda,Eastern Africa,#FF0000,24511,3204,9434,3925,11189,9320,79216,91171,39348,234759,634337,105281,424259,318678,2302598,2518375,1740564,1275274,17541266,15702320
United Rep. of Tanzania,Eastern Africa,#FF0000,47460,9669,57888,9210,49057,37414,46150,56827,56788,45140,38185,42621,81259,204762,128171,330521,280724,286423,497846,283505
Zambia,Eastern Africa,#FF0000,63847,442099,341745,262956,75102,316162,319119,329554,294523,129441,265439,288208,456927,556265,484910,516639,427529,622503,560626,604346
Cameroon,Middle Africa,#800000,3004,4731,89182,11839,16363,19229,16268,52721,57319,83653,148009,283395,223964,166326,62378,215112,174835,115963,118778,270847
Algeria,Northern Africa,#FF9900,136483296,117878024,160655968,150380851,123621016,64801355,69972607,98050153,112828628,127284955,154067776,223145928,304161172,232196936,215487765,312493219,338841853,316214327,307131966,297869352
Egypt,Northern Africa,#FF9900,14720009,12719953,11772474,12244909,8061523,4744998,6369402,6434762,7908404,9244255,10211176,13917835,56531338,54924684,38650679,53493934,82061964,75702804,62944611,82859203
Morocco,Northern Africa,#FF9900,43893952,45503460,49981548,41840336,38158428,24030640,24363994,28483260,29419884,34895191,48346138,68426891,77748255,76572934,67919907,95272826,115234557,107909798,98046950,97178720
Tunisia,Northern Africa,#FF9900,16516695,20562900,17742828,15400480,13678493,14635750,10735685,4575776,13962780,11339611,16672301,24561707,42845268,27098763,29057883,65232413,63869322,55728683,50885523,53699487
C̫te d'Ivoire,West Africa,#800000,218427,208073,137510,267455,189832,73877,101148,202450,482695,447260,556096,1110776,958888,892912,971436,1046572,1326084,1228649,2133940,3513050
Niger,West Africa,#800000,25391,31665,39181,23275,36908,18471,26411,28676,30254,108470,33985,77129,61830,49897,51761,114712,133931,106057,68639,97525
Senegal,West Africa,#800000,369422,173477,179095,203540,197740,184139,252912,555895,578948,631227,1013498,938663,1089510,1074948,800991,1046343,1034664,1148092,1357610,1574610
Jamaica,Caribbean,#339966,936177,813563,769506,364676,354490,128804,246010,460728,116136,786952,976448,888017,1378248,955755,1336236,2848217,2008252,1703423,2257301,2805644
Belize,Central America,#339966,567141,349096,136299,20088,132549,121193,175427,129190,126197,136831,215203,295961,198725,110063,144818,184593,300300,488026,688959,2079288
Costa Rica,Central America,#339966,44163,35876,261721,204384,444638,278112,262107,236942,145964,552519,228147,241159,217277,1584528,16551203,31722409,9378465,5806869,27970411,15955660
El Salvador,Central America,#339966,1993252,307138,450934,284678,901346,710205,403515,841066,979436,1649838,3401907,1920386,2474956,2062073,4199078,3392199,3174905,2597309,2834750,4132701
Mexico,Central America,#339966,3805853,26749982,18373398,14981609,9164758,15013314,9410611,15378455,13709254,6808264,11136115,13317683,17443289,15466233,47633644,67940739,48787300,54440538,135575754,156434588
Nicaragua,Central America,#339966,3343,86933,12302,2194542,2051892,96994,1576975,2969261,160160,3085800,3514356,3215239,1890172,3368927,2676484,4724615,4049946,1416931,1252896,1497031
Panama,Central America,#339966,362972,606596,1001094,1285980,1190849,349385,212060,49199,363653,109743,285424,154288,425717,131184,181665,3154593,3386418,3787865,3700660,7165190
Canada,Northern America,#000080,423205396,535291728,575078400,470856559,426386653,356978178,318487592,348006733,401280402,549251185,628561261,681663370,788446255,782559393,970968925,1473731952,1411631321,1180627947,1304896597,1238373740
Greenland,Northern America,#000080,798816,1658177,2077427,2219400,620987,469983,625820,1823295,2848752,3156505,2793431,3487655,3889635,4093918,4073699,5267067,5030503,4443703,4855627,3933927
Guatemala,Northern America,#000080,100566,163270,1243284,1658743,2427223,2364398,241388,108120,244803,350745,492476,433450,541984,259672,488349,719691,468398,295862,354204,650507
USA,Northern America,#000080,2692447548,3819858274,3331308962,2814693381,2635276465,1619380280,1622048418,1884141986,2185618652,2895140876,3220453785,3648429218,4256989553,3872301444,4695042699,7846602063,6750991509,5460625727,6013015226,6034025090
Argentina,Southern America,#339966,100421368,106177864,89549576,60356556,55888316,32171326,19828075,28229871,36876467,48738848,52434426,71862737,80338046,64912790,81321433,112008088,117613979,101449877,78503883,93845794
Bolivia (Plurinational State of),Southern America,#339966,9336,81734,29656,80536,40559,32449,91315,235912,18674,222569,184043,31024,93637,44860,71662,47388,234546,368442,518907,675209
Brazil,Southern America,#339966,2315265,1253596,907785,1225542,1500927,1631814,1608177,907334,1093038,1088541,1401519,2061528,7662151,13978863,21518058,40583706,35821786,32233580,47919981,67072938
Chile,Southern America,#339966,28554720,27682532,22805784,16595241,16688961,14864257,11442517,14910068,17386127,24445327,27494860,35727752,40113217,31509551,45273037,47464199,41989733,47038910,41515339,50553176
Colombia,Southern America,#339966,5880,36943,22476,32094,931476,4077211,4732621,2590541,5294090,25023126,27481358,12896558,20403879,83497995,79471385,171723980,175236017,51665915,36790551,15447144
Ecuador,Southern America,#339966,28074,20173,69011,66893,677843,296973,64856,141956,112124,6679730,3273371,377045,1083205,6924467,5166201,17121788,8346618,3343478,1179147,1878289
Paraguay,Southern America,#339966,2197093,2365120,1540368,1286721,247535,410671,112549,370478,709824,802387,1148155,1644999,1790346,1186928,1608692,1651613,1933531,1594177,2243234,2116532
Peru,Southern America,#339966,47066,137423,437979,566220,98600,194975,195703,225889,231535,1823946,393789,446577,706493,672349,840347,1397853,3600004,2438652,2356067,2644362
Uruguay,Southern America,#339966,5034450,5102070,5053562,3436577,2722358,2297661,1100154,1462750,1857544,2250886,2257747,3155268,3971799,3266701,4003534,5183944,5352280,4918269,4274606,4775205
China,Eastern Asia,#00FF00,17189981,2655893,11223581,8144980,6181860,7170866,8457177,14757626,16149269,22728606,35898953,48289091,65331318,50907776,70434645,129849007,168771183,142661924,187458571,228913784
China. Hong Kong SAR,Eastern Asia,#00FF00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,Eastern Asia,#00FF00,932472258,1095094718,1047752498,863589147,809752599,576164353,563311536,577332751,673546557,956331831,1021725423,1066638426,1267087029,1152704657,1405814760,2059154855,1698682364,1586000751,1442250659,1581142038
Rep. of Korea,Eastern Asia,#00FF00,146452704,208011744,158453264,125355612,112532933,72249310,71422975,78597216,96073660,140603810,162736373,203933576,289254471,276283625,371612050,618626075,477206319,415479113,527286883,547053956
Indonesia,SouthEastern Asia,#FFFF00,576401,13908003,4170904,3303385,11148087,5085602,4461723,5893493,6866738,6220586,11760059,78314022,18441317,25012042,34852418,49119351,117195614,38838385,46767784,31491913
Malaysia,SouthEastern Asia,#FFFF00,30346661,31902374,24021475,25658865,23442924,17880338,19333597,18154619,22582256,28509338,57061627,88582002,103545484,74687474,111047036,174969335,180787871,206797407,210165857,218693756
Philippines,SouthEastern Asia,#FFFF00,163638,6886221,19685456,8071046,12376963,8092710,16660717,21518348,9614664,28645433,12948675,39788132,41695879,47159194,43552535,55905882,70058231,55582715,21627398,33419001
Singapore,SouthEastern Asia,#FFFF00,32177438,59365749,37768784,32455951,15758175,11209892,18652601,29006877,36240691,50361724,52380722,62042434,52021670,44193116,44735287,65331617,88813722,71085122,60920705,69743495
Thailand,SouthEastern Asia,#FFFF00,49389,120260,2296317,319303,552043,747910,751087,1243717,1228939,1664315,2073461,2929539,35679006,11445469,26951397,90036017,68878816,78431608,105350785,117123288
India,Southern Asia,#ffCC00,1051774,3258155,3423670,2957973,4616922,1916653,1667024,5224356,8978579,40409019,21108682,33401694,58731900,53952524,60010100,95468111,125114225,124130285,137737675,119943431
Kazakhstan,Southern Asia,#ffCC00,1027985,642693,918170,694189,423700,379400,616500,986200,966827,1341359,1884058,2775058,2752454,2639130,2730567,3687948,4404820,5078732,5488039,4100404
Maldives,Southern Asia,#ffCC00,725539,619262,966940,316450,255286,273647,382921,386196,361615,411341,845268,926358,1156850,1224317,1520643,1883413,1956478,2336328,2575967,5254009
Azerbaijan,Western Asia,#99CC00,154990,71179,29618,73547,106966,153723,236993,380819,306306,194788,102221,169768,178330,186864,286383,309841,264995,336540,270788,377219
Cyprus,Western Asia,#99CC00,6929009,5133923,6087646,3949934,5295429,3165788,2649790,3087268,4252907,5001631,5251035,7667471,8376457,7507905,8339772,11144556,10913878,10126901,12635411,10573397
Georgia,Western Asia,#99CC00,11627192,8954178,5408274,4963710,4345446,2041546,1051582,1355175,3720306,4820427,6448415,9482902,11364545,10311836,9858309,13112783,14457117,14718514,13942100,14825320
Turkey,Western Asia,#99CC00,28676576,26644468,28035124,16256095,18835733,13337378,13146261,13426167,18289358,22973213,26495809,43370253,46090646,44183312,58919732,82673108,96579729,96501160,109170223,146799378
Australia,Australia and New Zealand,#800080,120275736,139196089,121041592,109887376,93948773,56343298,58584855,76369411,84786645,127863817,141957397,189604771,225072193,229778396,270789535,423218997,446873521,434905880,478209113,481127037
French Polynesia,Australia and New Zealand,#800080,1952848,1545426,2037497,1023192,1619784,1190649,1145990,1472503,1559971,1672192,1604945,1797701,2362470,2284784,2348135,2880641,2820596,3228612,3096477,2834747
New Zealand,Australia and New Zealand,#800080,22731179,27907364,27429804,17820580,14665387,14275778,12971535,15256936,16811201,23145622,26365222,32506117,35231468,38490058,43114435,61522937,63239996,59669274,63160321,66371171
Bulgaria,Eastern Europe,#0000FF,4583072,5817127,8136724,10565989,12777611,13677407,12552077,18134648,20953004,28572368,33394138,43804781,85849955,78165522,79862761,95294681,113424408,106551956,110939839,117417816
Czechia,Eastern Europe,#0000FF,76500312,78738320,67790040,54501087,41832428,33998799,29371331,36962468,46609113,68398230,89977621,120458032,145738322,134576619,139934338,208031206,182785336,178259000,297693388,522514233
Hungary,Eastern Europe,#0000FF,65794000,64542000,70202000,69239000,51195000,37448000,30317000,37921000,42186000,54142000,64469000,79277000,86700000,89392000,87770000,112849000,108342000,94863859,126947216,101201625
Poland,Eastern Europe,#0000FF,227320000,251878768,232436000,201768000,155775000,104984000,96795000,129699000,144582547,186505590,206408649,210099198,270297560,334363694,368994585,557150235,536010393,448755135,405440719,457180634
Rep. of Moldova,Eastern Europe,#0000FF,310155,190797,163031,116435,66417,142364,161024,254802,406639,569353,905872,1156515,1380276,1470715,1748501,2590910,2701013,3113898,3698424,3952408
Romania,Eastern Europe,#0000FF,17892000,17861000,36010000,57018000,53611000,50720000,41560000,52918064,66658382,86688697,99735956,113403557,135474151,132065886,143847155,188947587,187716749,191026564,192400595,188011205
Russian Federation,Eastern Europe,#0000FF,33120992,24499070,10158934,13512899,30893191,31583141,34453119,41264866,45738241,70975669,120698620,170833599,243915544,247563740,333005905,516786303,509485974,517818437,571601972,511149343
Slovakia,Eastern Europe,#0000FF,37079328,38803528,38919824,29890984,25152557,19012914,15702445,18911455,20384446,23792642,40944398,83384033,126642677,153949623,148429840,239830405,233204927,230616958,218625997,239672213
Ukraine,Eastern Europe,#0000FF,4356538,5456946,10957244,10551514,10837227,15778911,13041365,16693930,18957530,31918163,36526337,50112530,72700230,70017255,83193392,127683678,129761278,142057009,107565718,86143666
Denmark,Northern Europe,#993366,154423200,184815424,172014528,134258996,116359010,86723463,73709703,76321882,95287916,125971407,131294731,151191580,185396032,164006816,208023526,278739306,235088674,204486162,200314937,183823492
Estonia,Northern Europe,#993366,20002552,27064050,24948426,21776245,18982342,17827952,19292253,28656747,28373352,42397265,42574904,56555458,63470454,60331747,51031271,51119697,39631495,36687034,44211142,36818793
Finland,Northern Europe,#993366,189744144,263939216,231980864,168926730,139890363,101037517,80641929,90793873,109852032,157134272,170400062,191384513,242271474,224558356,294326921,438561047,346322535,266806238,296825161,298146222
Iceland,Northern Europe,#993366,9147936,9592088,10737981,7393882,7450680,6021266,6106644,6720001,7989542,10450731,10265615,12722613,13811562,12164158,12944337,16810034,16588144,15673202,16064420,16254350
Ireland,Northern Europe,#993366,13042470,17132164,14647791,19745532,15834672,15563733,15704580,22599280,23670435,28373957,30338700,34496055,32650965,37397207,35724380,56480378,58535283,54352373,63158120,74584584
Latvia,Northern Europe,#993366,8775654,14645895,17106158,17663571,20468896,15957209,16925952,19240404,20934840,24988342,32734045,38107731,37544633,28222554,39726529,55998058,55272304,49027000,58227671,47566748
Lithuania,Northern Europe,#993366,19206878,25645384,33472304,29499571,28207743,26403510,25299274,29148957,33863123,42228371,49484679,60523635,70889121,71480145,93476638,103155282,106976666,107171175,114129002,108156928
Norway,Northern Europe,#993366,109535408,145065584,125868752,100293384,76653831,56277025,52912507,57049922,69171260,106041670,104620176,125635561,142274241,134591296,177115155,285609109,227481321,194330083,205774028,205601934
Sweden,Northern Europe,#993366,290093824,393057376,307112256,222241440,180568034,136938555,135245124,154842809,183810598,278502397,294793738,337684587,408580896,366142760,500892228,703190165,628541967,485633304,527029262,472667476
United Kingdom,Northern Europe,#993366,386019456,479836064,476370624,339419505,291146207,209880086,201951203,246670314,335116758,382495712,432177748,535781841,634947996,603373737,684484551,957231858,846496270,692169379,833171683,940280663
Albania,Southern Europe,#0000FF,1609706,277629,493881,2272763,4810750,5679659,4950712,6243162,7039311,7706506,12542890,16508310,22166112,23760705,21738246,27574840,28411143,31377113,24782463,27674837
Croatia,Southern Europe,#0000FF,52787808,66665504,56568616,44100765,36814517,26309199,24406766,27296996,32743413,40183407,48086164,60103547,65266338,56318959,57020955,74756908,70892369,71517984,71589449,66506270
Greece,Southern Europe,#0000FF,82537376,90078512,65835028,50566020,53621851,43527427,42219927,53450985,69539570,85136314,89600352,125098740,163348906,152309981,142472128,201328745,192072447,188353701,211201725,207147849
Italy,Southern Europe,#0000FF,847793728,894699392,904121216,707747775,632875228,488454308,403183528,474935528,533551860,733955621,872517772,1092847713,1380255638,1229741926,1303279418,1972144431,1899100253,1649076474,1707942326,1778547675
Malta,Southern Europe,#0000FF,785694,915499,1241801,855551,793513,915738,930182,1302774,1389932,1226027,1363774,1333753,1860605,1717270,2121489,2732080,2711991,3212691,3567628,2884798
Portugal,Southern Europe,#0000FF,123259360,125761752,122936568,106873396,96052828,74774007,59589516,70220540,78971132,97007859,116817224,153753340,199305923,202604030,209656173,303623348,276087350,246754609,250073131,235590265
Slovenia,Southern Europe,#0000FF,29314558,29067570,28543808,24598104,21133832,16636286,14869002,14124299,18062422,21635506,24639739,33088965,38582068,35557349,37836595,52989211,52755772,52498533,50143719,50655615
Spain,Southern Europe,#0000FF,476932480,548776448,513746368,419913484,325362369,242046311,215769174,275629795,303703956,417940861,486450683,617494000,765332257,645537935,732982620,1065854207,944110249,808622984,1051326084,1010512516
TFYR of Macedonia,Southern Europe,#0000FF,6176726,7958589,11019613,6415714,2930864,4614977,5149902,7439881,10004562,12139215,13978026,18764740,21865403,19528543,18810927,25769244,26775204,25202588,22335868,22353767
Austria,Western Europe,#993366,186939616,246337728,234467200,193619392,127149662,124670562,105122817,130621762,147485934,185761049,250155338,386133292,452622193,351801734,384438397,536165050,495704465,462330667,481074070,428577288
France,Western Europe,#993366,970996928,1109954432,1007253568,766994560,637889287,492621478,477900134,562553051,608775210,764108031,919394951,1131696447,1381429386,1439363944,1681259564,2369538890,2344807712,2581423890,2655147031,2390499846
Germany,Western Europe,#993366,1993635072,2584169984,2299670016,1765199104,1480933000,1095859000,1005989000,1124586000,1363847000,1923910000,2346024000,2725881000,3329572000,2861799000,3527486260,5268624621,4627332059,3630120704,4017856074,3407082697
Netherlands,Western Europe,#993366,533209696,553752832,363359082,328888541,342202530,247804280,221621487,305152392,334093122,395439936,472503860,581137121,451408560,500056491,598495841,888412499,842401106,798464008,1129158309,1070150275
Switzerland,Western Europe,#993366,189714240,187542256,217177792,170639664,156747644,131188555,121491036,149571204,155803790,244844632,253007389,327051606,422001987,419726252,558538087,892788687,812337107,715785772,725143491,787100603
Eastern Africa,Africa,#000000,574484,884945,925153,770047,531226,747618,829734,1005138,1013015,1044756,1755030,1739352,2593782,2530910,4648366,5620185,4653555,4790355,21258345,19200854
Middle Africa,Africa,#000000,3004,4731,89182,11839,16363,19229,16268,52721,57319,83653,148009,283395,223964,166326,62378,215112,174835,115963,118778,270847
Northern Africa,Africa,#000000,211613952,196664337,240152818,219866576,183519460,108212743,111441688,137543951,164119696,182764012,229297391,330052361,481286033,390793317,351116234,526492392,600007696,555555612,519009050,531606762
West Africa,Africa,#000000,613240,413215,355786,494270,424480,276487,380471,787021,1091897,1186957,1603579,2126568,2110228,2017757,1824188,2207627,2494679,2482798,3560189,5185185
Caribbean,America,#000000,936177,813563,769506,364676,354490,128804,246010,460728,116136,786952,976448,888017,1378248,955755,1336236,2848217,2008252,1703423,2257301,2805644
Central America,America,#000000,6776724,28135621,20235748,18971281,13886032,16569203,12040695,19604113,15484664,12342995,18781152,19144716,22650136,22723008,71386892,111119148,69077334,68537538,172023430,187264458
Northern America,America,#000000,3116552326,4356971449,3909708073,3289428083,3064711328,1979192839,1941403218,2234080134,2589992609,3447899311,3852300953,4334013693,5049867427,4659214427,5670573672,9326320773,8168121731,6645993239,7323121654,7276983264
Southern America,America,#000000,138613252,142857455,120416197,83646380,78796575,55977337,39175967,49074799,63579423,111075360,116069268,128203488,156162773,205994504,239274349,397182559,390128494,245051300,215301715,239008649
Eastern Asia,Asia,#000000,1096114943,1305762355,1217429343,997089739,928467392,655584529,643191688,670687593,785769486,1119664247,1220360749,1318861093,1621672818,1479896058,1847861455,2807629937,2344659866,2144141788,2156996113,2357109778
SouthEastern Asia,Asia,#000000,63313527,112182607,87942936,69808550,63278192,43016452,59859725,75817054,76533288,115401396,136224544,271656129,251383356,202497295,261138673,435362202,525734254,450735237,444832529,470471453
Southern Asia,Asia,#000000,2805298,4520110,5308780,3968612,5295908,2569700,2666445,6596752,10307021,42161719,23838008,37103110,62641204,57815971,64261310,101039472,131475523,131545345,145801681,129297844
Western Asia,Asia,#000000,47387767,40803748,39560662,25243286,28583574,18698435,17084626,18249429,26568877,32990059,38297480,60690394,66009978,62189917,77404196,107240288,122215719,121683115,136018522,172575314
Australia and New Zealand,root,#000000,144959763,168648879,150508893,128731148,110233944,71809725,72702380,93098850,103157817,152681631,169927564,223908589,262666131,270553238,316252105,487622575,512934113,497803766,544465911,550332955
Eastern Europe,Europe,#000000,466956397,487787556,474773797,447163908,382140431,307345536,273953361,352760233,406475902,551562712,693060591,872529245,1168698715,1241565054,1386786477,2049164005,2003432078,1913062816,2034913868,2227243143
Northern Europe,Europe,#000000,1199991522,1560793245,1414259684,1061218856,895561778,672630316,627789169,732044189,908069856,1198584124,1298684398,1544083574,1831837374,1702268776,2097745536,2946894934,2560934659,2106335950,2358905426,2383901190
Southern Europe,Europe,#000000,1621197436,1764200895,1704506899,1363343572,1174395752,902957912,771068709,930643960,1055006158,1416931316,1665996624,2118993108,2657983250,2367076698,2525918551,3726773014,3492916778,3076616677,3392962393,3401873592
Western Europe,Europe,#000000,3874495552,4681757232,4121927658,3225341261,2744922123,2092143875,1932124474,2272484409,2610005056,3514063648,4241085538,5151899466,6037034126,5572747421,6750218149,9955529747,9122582449,8188125041,9008378975,8083410709
Africa,root,#000001,212804680,197967228,241522939,221142732,184491529,109256077,112668161,139388831,166281927,185079378,232804009,334201676,486214007,395508310,357651166,534535316,607330765,562944728,543946362,556263648
America,root,#000002,3262878479,4528778088,4051129524,3392410420,3157748425,2051868183,1992865890,2303219774,2669172832,3572104618,3988127821,4482249914,5230058584,4888887694,5982571149,9837470697,8629335811,6961285500,7712704100,7706062015
Asia,root,#000003,1209621535,1463268820,1350241721,1096110187,1025625066,719869116,722802484,771350828,899178672,1310217421,1418720781,1688310726,2001707356,1802399241,2250665634,3451271899,3124085362,2848105485,2883648845,3129454389
Australia,root,#000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,root,#000005,7162640907,8494538928,7715468038,6097067597,5197020084,3975077639,3604935713,4287932791,4979556972,6681141800,7898827151,9687505393,11695553465,10883657949,12760668713,18678361700,17179865964,15284140484,16795160662,16096428634
