Naam zender,Parent,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ned1,root,20.36613272,22.83549784,20.74688797,22.27979275,20.80610022,23.72505543,22.44655582,25.68047337,22.55813953
Ned2,root,7.894736842,7.359307359,6.950207469,7.046632124,7.080610022,7.538802661,7.600950119,7.455621302,7.209302326
Ned3,root,7.551487414,7.575757576,7.468879668,6.735751295,6.97167756,7.095343681,7.83847981,6.153846154,5.813953488
RTL4,root,14.7597254,13.74458874,14.10788382,14.92227979,16.88453159,15.29933481,17.695962,17.27810651,17.6744186
RTL5,root,6.064073227,4.87012987,4.564315353,4.14507772,4.466230937,3.54767184,3.800475059,3.668639053,3.372093023
RTL7,root,5.263157895,4.978354978,4.668049793,4.766839378,5.22875817,5.210643016,5.581947743,5.088757396,5.11627907
RTL8,root,0.800915332,1.948051948,1.763485477,1.761658031,1.960784314,1.884700665,2.137767221,2.24852071,2.441860465
SBS6,root,11.4416476,11.7965368,11.30705394,10.3626943,9.912854031,8.647450111,8.669833729,8.520710059,8.953488372
Net5,root,5.148741419,5.303030303,4.460580913,3.626943005,3.594771242,3.54767184,4.275534442,3.786982249,3.953488372
Veronica,root,4.233409611,3.787878788,3.319502075,3.212435233,3.703703704,3.32594235,3.681710214,3.668639053,3.255813953
MTF,root,0.915331808,0.757575758,0.829875519,0.829015544,0.762527233,0.776053215,1.06888361,0.828402367,0.697674419
Comedy Central,root,0.800915332,0.974025974,1.037344398,1.03626943,1.307189542,1.55210643,2.375296912,2.24852071,1.976744186
Nickolodeon,root,2.402745995,2.380952381,2.178423237,1.865284974,1.960784314,1.99556541,1.90023753,1.420118343,3.953488372
Discovery channel,root,1.945080092,1.948051948,1.867219917,1.554404145,1.633986928,1.77383592,2.256532067,2.24852071,2.093023256
National Geographic channel,root,0.915331808,0.865800866,0.829875519,1.139896373,1.307189542,1.219512195,1.425178147,1.420118343,1.627906977
Eurosport,root,1.029748284,0.974025974,0.829875519,0.829015544,0.980392157,0.997782705,0.831353919,0.710059172,0.813953488
AT5,root,0.228832952,0.108225108,0.20746888,0.103626943,0.108932462,0.110864745,0.118764846,0.118343195,0.11627907
Regionale zenders,root,2.288329519,2.056277056,1.867219917,1.761658031,1.851851852,1.884700665,2.019002375,1.775147929,1.627906977
Overige zenders,root,5.949656751,5.735930736,10.99585062,12.02072539,9.477124183,9.866962306,4.275534442,5.680473373,6.744186047