Testing,Parent,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Monaco,WesternEurope,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,31.986000061035156,31.986000061035156,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,35.499000549316406,35.763999938964844,36.125999450683594,36.04999923706055,36.95000076293945,36.900001525878906,37.599998474121094,38.20000076293945
Moldova,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4363.0,4348.0,4348.0,4348.0,4348.0,4327.0,3654.2080078125,3652.740966796875,3647.0009765625,3639.592041015625,3631.4619140625,3623.06201171875,3612.8740234375,3603.93994140625,3595.18701171875,3585.208984375,3576.909912109375,3570.10791015625,3565.60400390625,3562.044921875,3559.986083984375,3559.52001953125,3558.56591796875,3557.327880859375,3555.158935546875,3553.10009765625
Switzerland,WesternEurope,6405.0,6346.0,6327.0,6333.0,6351.0,6319.0,6354.0,6391.0,6419.0,6442.0,6470.0,6504.0,6545.0,6593.0,6647.0,6712.0,6800.0,6875.0,6938.0,6994.0,7041.0,7081.0,7088.90576171875,7110.001953125,7143.9912109375,7184.25,7226.64697265625,7284.75390625,7339.001953125,7389.6259765625,7437.1162109375,7483.93505859375,7551.1171875,7647.6748046875,7743.83203125,7824.9091796875,7912.39794921875,7996.86083984375,8089.34619140625,8188.64892578125,8282.396484375,8327.1259765625
SouthernEurope,root,133682.0,134941.0,135724.0,136779.0,137793.0,138766.0,139451.0,140102.0,140919.0,141613.0,142078.0,142559.0,142994.0,143410.0,143711.0,144108.0,143442.0,143273.0,143983.0,144089.0,143787.0,143355.0,143806.36046028137,143909.5925796032,144364.2878882885,144769.66540408134,145438.4568850994,143841.32948374748,145083.43780970573,145961.22877001762,147036.94980883598,147824.30773425102,149010.4523742199,150150.03256297112,150821.25775027275,151149.01045319438,151324.93625733256,151366.7181585133,151707.9115255177,151974.38523843884,151761.89643076062,151227.56462860107
Azerbaijan,OtherAreas(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7271.0,7382.0,7495.0,7597.0,7685.0,7763.0,7838.2998046875,7913.0,7982.7998046875,8048.60009765625,8152.7998046875,8230.2998046875,8309.2001953125,8398.2998046875,8500.2998046875,8609.599609375,8723.0,8838.5,8947.2998046875,9054.2998046875,9173.099609375,9295.7841796875,9416.7998046875,9528.900390625,9649.3408203125,9755.5
Greece,SouthernEurope,9047.0,9167.0,9268.0,9360.0,9449.0,9643.0,9729.0,9790.0,9847.0,9896.0,9934.0,9967.0,10001.0,10037.0,10090.0,10161.0,10247.0,10322.0,10379.0,10426.0,10634.0,10709.0,10776.53125,10834.91015625,10882.607421875,10917.45703125,10949.953125,10987.55859375,11023.5322265625,11055.728515625,11092.9130859375,11020.392578125,11048.4990234375,11077.86328125,11107.0244140625,11121.3828125,11104.9951171875,11045.0400390625,10965.2412109375,10892.369140625,10820.9638671875,10783.748046875
OtherAreas(post-USSR),root,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67334.0,68538.0,69388.0,68886.0,69115.0,69480.0,69719.8056640625,70354.14306640625,70324.20166015625,71185.71630859375,71764.30395507812,72342.05688476562,72966.98095703125,73461.99731445312,74228.34301757812,75174.99438476562,76222.20703125,77170.52807617188,78303.337890625,79738.33056640625,80933.26025390625,82005.2236328125,83122.455078125,83404.47192382812,84363.54248046875,85310.08715820312
Italy,SouthernEurope,55441.0,55701.0,55955.0,56155.0,56318.0,56434.0,56508.0,56639.0,56836.0,57005.0,57141.0,57246.0,57345.0,57441.0,57541.0,57661.0,56751.0,56859.0,57049.0,57204.0,56844.0,56860.0,56890.37109375,56906.7421875,56916.31640625,56942.109375,56977.21875,57157.40625,57604.65625,57685.328125,57969.484375,58143.98046875,58438.30859375,58826.73046875,59095.36328125,59277.41796875,59379.44921875,59539.71875,60233.94921875,60789.140625,60795.61328125,60665.55078125
NorthernEurope(pre-USSR),root,81809.0,81932.0,82058.0,82142.0,82321.0,82493.0,82603.0,82643.0,82755.0,82986.0,83227.0,83458.0,83689.0,83922.0,84200.0,84502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IrelandNew,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3526.0,3554.0,3574.0,3586.0,3601.0,3626.0,3664.31298828125,3703.08203125,3741.64697265625,3789.535888671875,3847.197998046875,3931.947021484375,3996.52099609375,4070.261962890625,4159.9140625,4260.3408203125,4356.93115234375,4425.68310546875,4458.94189453125,4560.15478515625,4576.7939453125,4586.89697265625,4598.2939453125,4605.5009765625,4635.39013671875,4724.72021484375
WesternEurope,root,169226.0,169111.0,169286.0,169516.0,169869.0,170429.0,171008.0,171318.0,171412.0,171431.0,171689.0,172095.0,172639.0,173499.0,174640.0,176030.0,177141.0,178273.0,179409.0,179968.0,180555.0,181119.0,181590.69389152527,181912.44319915771,182434.97467041016,183124.8235092163,183925.59474945068,184737.89345169067,185397.75109100342,186019.42545318604,186634.10823440552,187144.08833312988,187626.8808631897,188102.2087211609,188471.5133743286,188950.9955558777,188126.6890411377,188872.75063705444,189679.50345230103,190469.56336593628,191942.2022743225,192867.2946586609
Lithuania,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3742.0,3700.0,3683.0,3657.0,3629.0,3602.0,3575.136962890625,3549.3310546875,3524.238037109375,3499.535888671875,3481.2919921875,3469.070068359375,3454.205078125,3377.074951171875,3322.528076171875,3269.908935546875,3231.2939453125,3198.23095703125,3162.916015625,3097.281982421875,3028.114990234375,2987.77294921875,2957.68896484375,2932.366943359375,2904.909912109375,2888.55810546875
Portugal,SouthernEurope,9426.0,9666.0,9455.0,9558.0,9661.0,9766.0,9855.0,9864.0,10009.0,10089.0,10011.0,10011.0,9994.0,9968.0,9937.0,9899.0,9871.0,9867.0,9881.0,10004.0,10030.0,10058.0,10091.1201171875,10129.2900390625,10171.94921875,10225.8359375,10292.9990234375,10368.4033203125,10441.0751953125,10483.861328125,10503.330078125,10522.2880859375,10542.9638671875,10558.1767578125,10568.2470703125,10573.099609375,10557.5595703125,10514.84375,10457.294921875,10401.0615234375,10358.076171875,10341.330078125
Georgia,OtherAreas(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5464.0,5455.0,5440.0,4862.0,4734.0,4617.0,4531.7001953125,4487.39990234375,4452.5,4418.2998046875,4385.7998046875,4357.10009765625,4328.89990234375,4318.2998046875,4361.39990234375,4398.0,4388.39990234375,4383.7998046875,4410.89990234375,4452.7998046875,4483.39990234375,4490.7001953125,4487.14990234375,3727.0,3717.10009765625,3719.300048828125
Gibraltar,SouthernEurope,30.0,30.0,30.0,29.0,30.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,31.0,31.0,28.0,29.0,28.0,28.0,27.0,27.0,27.138999938964844,27.024999618530273,27.20400047302246,27.033000946044922,27.033000946044922,28.520000457763672,28.604999542236328,28.759000778198242,29.312999725341797,29.672000885009766,30.06599998474121,30.496000289916992,30.96299934387207,31.46500015258789,32.00299835205078,32.57699966430664,32.73400115966797,33.13999938964844,33.573001861572266,33.573001861572266
EasternEurope(post-USSR),root,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311164.0,310777.0,310730.0,310841.0,310332.0,308937.0,307273.37060546875,306608.2585449219,305499.3544921875,304229.9519042969,302632.81787109375,300718.79443359375,299410.71728515625,298258.7119140625,296775.06103515625,295735.83203125,294840.2717285156,294177.81689453125,293869.9716796875,293462.19091796875,293113.3640136719,293083.0234375,293185.98876953125,290480.0485839844,290100.4851074219,289845.98095703125
Latvia,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.0,2614.0,2563.0,2521.0,2485.0,2457.0,2432.85107421875,2410.01904296875,2390.48193359375,2372.985107421875,2355.010986328125,2338.6240234375,2325.342041015625,2263.1220703125,2238.799072265625,2218.35693359375,2200.324951171875,2177.322021484375,2141.6689453125,2097.554931640625,2059.708984375,2034.3189697265625,2012.64697265625,1993.781982421875,1977.5269775390625,1968.95703125
NorwayNew,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4262.0,4286.0,4312.0,4325.0,4359.0,4381.0,4405.1572265625,4431.4638671875,4461.9130859375,4490.966796875,4513.7509765625,4538.1591796875,4564.85498046875,4591.91015625,4623.291015625,4660.6767578125,4709.15283203125,4768.2119140625,4828.72607421875,4889.251953125,4953.087890625,5018.5732421875,5079.623046875,5137.23193359375,5188.60693359375,5236.826171875
Yugoslavia,SouthernEurope,21365.0,21573.0,21775.0,21974.0,22166.0,22304.0,22471.0,22642.0,22805.0,22966.0,23124.0,23274.0,23417.0,23566.0,23695.0,23818.0,23931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,OtherAreas(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4457.0,4534.0,4543.0,4540.0,4590.0,4657.0,4724.89990234375,4797.0,4854.06005859375,4883.7060546875,4902.123046875,4919.4599609375,4943.77001953125,4976.880859375,5006.51416015625,5033.953125,5268.384765625,5318.72900390625,5383.27685546875,5447.9599609375,5514.75390625,5607.51123046875,5719.85205078125,5835.81591796875,5957.27099609375,6079.83984375
UnitedKingdomNew,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57808.0,58013.0,58198.0,57862.0,58025.0,58164.0,58314.25,58474.94140625,58684.42578125,58886.06640625,59113.49609375,59318.77734375,59552.18359375,59950.36328125,60413.27734375,60827.06640625,61319.07421875,61823.7734375,62260.484375,62759.45703125,63285.14453125,63705.03125,64102.1640625,64591.71484375,65128.859375,65382.5546875
FaroeIslandsNew,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,44.0,44.0,43.99300003051758,44.50400161743164,45.0629997253418,45.749000549316406,46.553001403808594,47.314998626708984,47.92300033569336,48.257999420166016,48.257999420166016,48.34000015258789,48.38399887084961,48.55500030517578,48.79800033569336,48.66899871826172,48.5629997253418,48.319000244140625,48.2859992980957,48.46200180053711,48.95800018310547,49.50299835205078
Serbia,SouthernEurope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7411.56884765625,7381.5791015625,7350.22216796875,7320.80712890625,7291.43603515625,7236.51904296875,7201.4970703125,7166.5517578125,7131.787109375,7095.3828125,7058.32177734375
BosniaandHerzegovina,SouthernEurope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4409.0,4434.0,4459.0,4180.0,3645.0,3737.864990234375,3653.364013671875,3724.672119140625,3781.4970703125,3797.93701171875,3828.39697265625,3832.301025390625,3842.527099609375,3842.537109375,3842.761962890625,3842.56201171875,3842.264892578125,3842.56591796875,3843.1259765625,3841.22412109375,3837.455078125,3833.278076171875,3830.910888671875,3825.333984375,3512.85498046875
France,WesternEurope,52705.0,52909.0,53145.0,53376.0,53606.0,53880.0,54182.0,54480.0,54728.0,54947.0,55284.0,55546.0,55824.0,56118.0,56423.0,56735.0,57055.0,57240.0,57467.0,57659.0,57844.0,58026.0,58207.48828125,58397.7890625,58677.40625,59062.38671875,59476.234375,59893.87109375,60303.6328125,60734.34375,61181.5,61597.484375,61965.05078125,62300.2890625,62615.47265625,62917.7890625,63223.15625,63536.91796875,63862.82421875,64027.78515625,64474.2734375,64732.09765625
Andorra,SouthernEurope,27.0,29.0,29.0,30.0,31.0,35.0,38.0,40.0,42.0,43.0,45.0,46.0,48.0,50.0,51.0,53.0,57.0,60.0,63.0,65.0,64.0,64.0,65.59200286865234,65.59200286865234,65.92400360107422,65.90799713134766,66.08899688720703,66.09400177001953,69.83999633789062,74.88500213623047,78.60700225830078,80.10399627685547,82.39199829101562,83.88400268554688,85.11599731445312,70.29000091552734,69.77200317382812,69.75800323486328,69.92900085449219,70.15499877929688,70.9010009765625,72.35800170898438
SwedenNew,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8617.0,8668.0,8719.0,8781.0,8827.0,8841.0,8846.0615234375,8850.9736328125,8857.8740234375,8872.1103515625,8895.9599609375,8924.9580078125,8958.228515625,8993.53125,9029.572265625,9080.5048828125,9148.091796875,9219.63671875,9298.5146484375,9378.1259765625,9449.212890625,9519.375,9600.37890625,9696.1103515625,9799.185546875,9851.0166015625
NorthernEurope(post-USSR),root,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92869.0,93112.0,93345.0,93050.0,93225.0,93402.0,93591.719997406,93795.34129714966,94069.3729057312,94340.08267211914,94672.11796569824,95017.06270217896,95369.73920059204,95806.58835983276,96351.50514602661,96922.12855911255,97620.31111526489,98331.69731903076,98924.89876937866,99603.18766784668,100217.71698379517,100763.37435913086,101307.69819259644,101968.86249160767,102709.75211334229,103234.68383026123
IcelandNew,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,261.0,264.0,266.0,267.0,269.0,270.9150085449219,273.79400634765625,277.1839904785156,281.15399169921875,285.0539855957031,287.5589904785156,289.2720031738281,292.5870056152344,295.864013671875,304.3340148925781,311.39599609375,319.3550109863281,319.2460021972656,318.0060119628906,319.0140075683594,320.71600341796875,323.7640075683594,327.385986328125,330.81500244140625,332.52899169921875
FinlandNew,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5014.0,5042.0,5066.0,5088.0,5108.0,5125.0,5139.8349609375,5153.498046875,5165.47412109375,5176.208984375,5188.0078125,5200.59814453125,5213.01416015625,5228.171875,5219.4482421875,5239.4228515625,5261.68212890625,5286.09521484375,5311.27587890625,5335.48095703125,5360.0908203125,5385.54296875,5410.38916015625,5432.72119140625,5450.5810546875,5507.0
OtherAreas(pre-USSR),root,254469.0,256760.0,259029.0,261253.0,263425.0,265542.0,267622.0,269901.0,272368.0,274874.0,277334.0,280016.0,282830.0,285419.0,286731.0,288595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IsleofManNew,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,71.0,71.0,72.0,72.0,72.4520034790039,73.27400207519531,74.05999755859375,74.91100311279297,74.91100311279297,77.15599822998047,77.46399688720703,77.58100128173828,78.80000305175781,78.80000305175781,80.88500213623047,81.72200012207031,82.37100219726562,82.69100189208984,82.69100189208984,85.0469970703125,85.68199920654297,86.3219985961914,86.96299743652344,85.61900329589844
Kazakhstan,OtherAreas(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16451.0,16518.0,16381.0,16146.0,15816.0,15578.0,15334.4052734375,15072.9833984375,14928.373046875,14883.6259765625,14858.3349609375,14858.9482421875,14909.017578125,15012.9853515625,15147.029296875,15308.083984375,15484.1923828125,15674.0,16092.701171875,16321.5810546875,16556.6015625,16791.427734375,17035.275390625,17160.7734375,17160.7734375,17160.7734375
IsleofMan,NorthernEurope(pre-USSR),60.0,62.0,62.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,63.0,64.0,64.0,67.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChannelIslandsNew,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,143.0,142.0,142.0,143.0,143.0,143.0,143.0,144.0,144.0,148.0,150.0,150.0,150.0,151.0,153.0,155.0,157.0,158.0,160.0,161.0,162.0,162.0,163.0,165.0,167.0
DenmarkNew,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5154.0,5170.0,5189.0,5205.0,5228.0,5262.0,5284.22021484375,5301.30419921875,5327.35791015625,5337.34423828125,5358.783203125,5374.2548828125,5387.173828125,5401.1767578125,5415.97802734375,5434.56689453125,5457.4150390625,5489.02197265625,5519.44091796875,5545.0390625,5566.85595703125,5587.0849609375,5608.7841796875,5639.71923828125,5678.34814453125,5724.4560546875
ChannelIslands,NorthernEurope(pre-USSR),128.0,128.0,129.0,129.0,130.0,129.0,130.0,130.0,131.0,132.0,133.0,136.0,136.0,140.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macedonia,SouthernEurope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2056.0,2056.0,2056.0,1963.0,1975.0,1996.8690185546875,2007.52294921875,2017.1419677734375,2024.0,2034.8819580078125,2031.1529541015625,2026.77294921875,2032.5439453125,2036.85498046875,2040.22802734375,2043.5589599609375,2046.89794921875,2050.6708984375,2055.00390625,2058.5390625,2061.0439453125,2064.031982421875,2067.470947265625,2070.22509765625,2072.489990234375
Belarus,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10271.0,10313.0,10356.0,10308.0,10281.0,10250.0,10117.4326171875,10071.962890625,10035.2099609375,10004.9580078125,9970.6884765625,9924.765625,9873.826171875,9824.568359375,9663.9150390625,9604.923828125,9560.953125,9527.9853515625,9506.7646484375,9490.5830078125,9473.171875,9464.4951171875,9465.9970703125,9474.5107421875,9489.6162109375,9498.3642578125
Ireland,NorthernEurope(pre-USSR),3176.0,3228.0,3272.0,3314.0,3368.0,3401.0,3440.0,3480.0,3504.0,3529.0,3540.0,3541.0,3543.0,3538.0,3515.0,3503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
